[2025-03-21T23:39:17.222Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_trooper 5c0e655586f774045612eeb2, unable to find plates of level: 2. Using mod items default plate
[2025-03-21T23:39:17.329Z] debug: 	pmcbear No default: mod_muzzle mod found for: weapon_izhmash_mosin_infantry_762x54, using existing pool
[2025-03-21T23:39:17.343Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_kirasa 5b44d22286f774172b0c9de8, unable to find plates of level: 2. Using mod items default plate
[2025-03-21T23:39:17.357Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_zhuk3 5c0e5edb86f77461f55ed1f7, unable to find plates of level: 2. Using mod items default plate
[2025-03-21T23:39:17.357Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_zhuk3 5c0e5edb86f77461f55ed1f7, unable to find plates of level: 2. Using mod items default plate
[2025-03-21T23:39:17.358Z] debug: 	pmcbear No default: mod_muzzle mod found for: weapon_izhmash_mosin_infantry_762x54, using existing pool
[2025-03-21T23:39:17.387Z] debug: 	Plate filter was too restrictive for armor: item_equipment_rig_m1 5c0e722886f7740458316a57, unable to find plates of level: 2. Using mod items default plate
[2025-03-21T23:39:17.387Z] debug: 	Plate filter was too restrictive for armor: item_equipment_rig_m1 5c0e722886f7740458316a57, unable to find plates of level: 2. Using mod items default plate
[2025-03-21T23:39:17.430Z] debug: 	pmcbear No default: mod_muzzle mod found for: weapon_molot_op_sks_762x39, using existing pool
[2025-03-21T23:39:17.459Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_kirasa 5b44d22286f774172b0c9de8, unable to find plates of level: 2. Using mod items default plate
[2025-03-21T23:39:17.460Z] debug: 	Plate filter was too restrictive for armor: item_equipment_armor_kirasa 5b44d22286f774172b0c9de8, unable to find plates of level: 2. Using mod items default plate
[2025-03-21T23:39:17.460Z] debug: 	pmcusec No default: mod_muzzle mod found for: weapon_molot_op_sks_762x39, using existing pool
